Box size
-0.1875,0.7853975000000002
Morse_node,Morse_tile,Morse_set,Box_center
1,358, ,-1.21875,-1.9634937500000003
1,360, ,-1.40625,-1.9634937500000003
1,361, ,-0.84375,-1.1780962500000003
1,362, ,-1.03125,-1.1780962500000003
1,363, ,-0.84375,-0.3926987500000001
1,368, ,-1.03125,-0.3926987500000001
1,369, ,-1.21875,-1.1780962500000003
1,370, ,-1.40625,-1.1780962500000003
1,371, ,-1.21875,-0.3926987500000001
1,372, ,-1.40625,-0.3926987500000001
1,373, ,-1.59375,-5.89048125
1,374, ,-1.78125,-5.89048125
1,375, ,-1.59375,-5.1050837499999995
1,401, ,-1.78125,-5.1050837499999995
1,403, ,-1.96875,-5.89048125
1,404, ,-2.15625,-5.89048125
1,405, ,-1.96875,-5.1050837499999995
1,406, ,-2.15625,-5.1050837499999995
1,407, ,-1.59375,-4.319686249999999
1,412, ,-1.78125,-4.319686249999999
1,413, ,-1.59375,-3.5342887499999995
1,415, ,-1.78125,-3.5342887499999995
1,448, ,-1.96875,-4.319686249999999
1,449, ,-2.15625,-4.319686249999999
1,450, ,-1.96875,-3.5342887499999995
1,451, ,-2.15625,-3.5342887499999995
1,456, ,-2.34375,-5.89048125
1,457, ,-2.53125,-5.89048125
1,458, ,-2.34375,-5.1050837499999995
1,459, ,-2.53125,-5.1050837499999995
1,480, ,-2.71875,-5.89048125
1,481, ,-2.90625,-5.89048125
1,483, ,-2.71875,-5.1050837499999995
1,484, ,-2.90625,-5.1050837499999995
1,486, ,-2.34375,-4.319686249999999
1,493, ,-2.53125,-4.319686249999999
2,64, ,-2.34375,-3.5342887499999995
2,65, ,-2.53125,-3.5342887499999995
2,67, ,-2.71875,-4.319686249999999
2,68, ,-2.90625,-4.319686249999999
2,69, ,-2.71875,-3.5342887499999995
2,70, ,-2.90625,-3.5342887499999995
2,71, ,-1.59375,-2.74889125
2,76, ,-1.78125,-2.74889125
2,77, ,-1.59375,-1.9634937500000003
2,79, ,-1.78125,-1.9634937500000003
2,80, ,-1.96875,-2.74889125
2,81, ,-2.15625,-2.74889125
2,82, ,-1.96875,-1.9634937500000003
2,83, ,-2.15625,-1.9634937500000003
2,88, ,-1.59375,-1.1780962500000003
2,89, ,-1.78125,-1.1780962500000003
2,90, ,-1.59375,-0.3926987500000001
2,91, ,-1.78125,-0.3926987500000001
2,92, ,-1.96875,-1.1780962500000003
2,94, ,-2.15625,-1.1780962500000003
2,95, ,-1.96875,-0.3926987500000001
2,112,4,-2.15625,-0.3926987500000001
2,113, ,-2.34375,-2.74889125
2,115, ,-2.53125,-2.74889125
2,116, ,-2.34375,-1.9634937500000003
2,117, ,-2.53125,-1.9634937500000003
2,118, ,-2.71875,-2.74889125
2,119, ,-2.90625,-2.74889125
2,121, ,-2.71875,-1.9634937500000003
2,124, ,-2.90625,-1.9634937500000003
2,125, ,-2.34375,-1.1780962500000003
2,126, ,-2.53125,-1.1780962500000003
2,127, ,-2.34375,-0.3926987500000001
2,213,3,-2.53125,-0.3926987500000001
2,215, ,-2.71875,-1.1780962500000003
2,221, ,-2.90625,-1.1780962500000003
2,290,3,-2.71875,-0.3926987500000001
2,296, ,-2.90625,-0.3926987500000001
2,298,2,-0.09375,0.3926987500000001
2,299,2,-0.28125,0.3926987500000001
2,302, ,-0.09375,1.1780962500000003
2,384, ,-0.28125,1.1780962500000003
2,385, ,-0.46875,0.3926987500000001
2,386, ,-0.65625,0.3926987500000001
2,387, ,-0.46875,1.1780962500000003
2,388, ,-0.65625,1.1780962500000003
2,389, ,-0.09375,1.9634937500000003
2,390, ,-0.28125,1.9634937500000003
2,391, ,-0.09375,2.74889125
2,392, ,-0.28125,2.74889125
2,393, ,-0.46875,1.9634937500000003
2,394, ,-0.65625,1.9634937500000003
2,395, ,-0.46875,2.74889125
2,396, ,-0.65625,2.74889125
2,397, ,-0.84375,0.3926987500000001
2,398, ,-1.03125,0.3926987500000001
2,399, ,-0.84375,1.1780962500000003
2,400, ,-1.03125,1.1780962500000003
2,402, ,-1.21875,0.3926987500000001
2,408, ,-1.40625,0.3926987500000001
2,409, ,-1.21875,1.1780962500000003
2,410, ,-1.40625,1.1780962500000003
2,411, ,-0.84375,1.9634937500000003
2,414, ,-1.03125,1.9634937500000003
2,416, ,-0.84375,2.74889125
2,417, ,-1.03125,2.74889125
2,419, ,-1.21875,1.9634937500000003
2,420, ,-1.40625,1.9634937500000003
2,421, ,-1.21875,2.74889125
2,422, ,-1.40625,2.74889125
2,423, ,-0.09375,3.5342887499999995
2,425, ,-0.28125,3.5342887499999995
2,428, ,-0.09375,4.319686249999999
2,429, ,-0.28125,4.319686249999999
2,430, ,-0.46875,3.5342887499999995
2,431, ,-0.65625,3.5342887499999995
2,432, ,-0.46875,4.319686249999999
2,433, ,-0.65625,4.319686249999999
2,434, ,-0.09375,5.1050837499999995
2,435, ,-0.28125,5.1050837499999995
2,436, ,-0.09375,5.89048125
2,437, ,-0.28125,5.89048125
2,438, ,-0.46875,5.1050837499999995
2,439, ,-0.65625,5.1050837499999995
2,440, ,-0.46875,5.89048125
2,441, ,-0.65625,5.89048125
2,442, ,-0.84375,3.5342887499999995
2,443, ,-1.03125,3.5342887499999995
2,444, ,-0.84375,4.319686249999999
2,445, ,-1.03125,4.319686249999999
2,446, ,-1.21875,3.5342887499999995
2,447, ,-1.40625,3.5342887499999995
2,482, ,-1.21875,4.319686249999999
2,488, ,-1.40625,4.319686249999999
2,489, ,-0.84375,5.1050837499999995
2,490, ,-1.03125,5.1050837499999995
2,491, ,-0.84375,5.89048125
2,492, ,-1.03125,5.89048125
2,494, ,-1.21875,5.1050837499999995
2,495, ,-1.40625,5.1050837499999995
3,509, ,-1.21875,5.89048125
3,510, ,-1.40625,5.89048125
